ticker,name,status,has_ai_disclosure,total_ai_mentions,cat_core_ai,cat_ai_tech,cat_ai_risk,cat_ai_infra,cat_ai_regulation,cat_mit4_malicious,cat_mit5_human,cat_mit6_socio,cat_mit6_environ,cat_mit7_safety,kw_nvidia,kw_data_center,kw_gpu,kw_sustainability,kw_compute,kw_ai_model,kw_misuse,kw_generative_ai,kw_llm,kw_bias,kw_ai_system,kw_algorithm,kw_ai_regulation,kw_eu_ai_act,kw_disinformation,kw_misinformation,kw_automation,kw_artificial_intelligence,kw_autonomous,kw_cyberattack,kw_manipulation,kw_machine_learning,kw_large_language_model,kw_carbon_footprint,kw_environmental_impact,kw_robotics,kw_uncontrollable,kw_misalignment,kw_explainability,kw_predictive_analytics,kw_energy_consumption,kw_labor_disruption,kw_responsible_ai,kw_ai_governance,kw_ai_agent,kw_natural_language_processing,kw_training_data,kw_agentic,kw_adversarial,kw_algorithmic_accountability,kw_dual-use,kw_overreliance,kw_computer_vision,kw_monopol,kw_human_oversight,kw_neural_network,kw_hallucination,kw_nlp,kw_over-reliance,kw_ai_legislation,kw_ai_ethics,kw_jailbreak
NVDA,NVIDIA CORP,analyzed,True,104,11,1,2,73,2,3,0,0,12,0,33.0,18.0,13.0,11.0,8.0,6.0,3.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAPL,Apple Inc.,analyzed,False,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOOGL,Alphabet Inc.,analyzed,True,39,7,2,2,9,2,5,4,0,8,0,,4.0,,6.0,4.0,,5.0,,,,3.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSFT,MICROSOFT CORP,analyzed,False,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMZN,AMAZON COM INC,analyzed,False,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AVGO,Broadcom Inc.,analyzed,True,24,1,1,0,17,0,4,0,0,1,0,,12.0,,1.0,5.0,,4.0,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
META,"Meta Platforms, Inc.",analyzed,False,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TSLA,"Tesla, Inc.",analyzed,True,11,3,3,0,2,0,2,1,0,0,0,,1.0,,,1.0,,1.0,,,,,,,,,,2.0,3.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRK-B,BERKSHIRE HATHAWAY INC,analyzed,False,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WMT,Walmart Inc.,analyzed,False,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LLY,ELI LILLY & Co,analyzed,False,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
