ticker,cik,name,status,has_ai_disclosure,total_ai_mentions,risk_text_length,cat_core_ai,cat_ai_tech,cat_ai_risk,cat_ai_infra,cat_ai_regulation,cat_mit4_malicious,cat_mit5_human,cat_mit6_socio,cat_mit6_environ,cat_mit7_safety,kw_nvidia,kw_data_center,kw_gpu,kw_sustainability,kw_compute,kw_ai_model,kw_misuse,kw_eu_ai_act,kw_generative_ai,kw_llm,kw_bias,kw_artificial_intelligence,kw_machine_learning,kw_large_language_model,kw_algorithm,kw_monopol,kw_ai_system,kw_ai_regulation,kw_disinformation,kw_misinformation,kw_environmental_impact,kw_automation,kw_energy_consumption,kw_autonomous,kw_cyberattack,kw_manipulation,kw_agentic,kw_training_data,kw_ai_agent,kw_data_center_energy,kw_ai_governance,kw_responsible_ai,kw_computer_vision,kw_carbon_footprint,kw_robotics,kw_labor_disruption,kw_uncontrollable,kw_misalignment,kw_human_oversight,kw_ai_safety,kw_explainability,kw_dual-use,kw_nlp,kw_predictive_analytics,kw_adversarial,kw_ai_legislation,kw_hallucination,kw_neural_network,kw_ai_ethics,kw_algorithmic_accountability,kw_natural_language_processing,kw_overreliance,kw_job_displacement,kw_jailbreak,kw_weaponiz,kw_deep_learning,kw_over-reliance
NVDA,1045810,NVIDIA CORP,analyzed,True,130,126131.0,14.0,1.0,2.0,88.0,3.0,4.0,0.0,0.0,18.0,0.0,36.0,22.0,20.0,17.0,9.0,7.0,4.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAPL,320193,Apple Inc.,analyzed,True,17,68022.0,11.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,,,,,4.0,,,,,1.0,,6.0,4.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOOGL,1652044,Alphabet Inc.,analyzed,True,39,92552.0,7.0,2.0,2.0,9.0,2.0,5.0,4.0,0.0,8.0,0.0,,4.0,,6.0,4.0,1.0,5.0,2.0,1.0,1.0,,1.0,,,2.0,,3.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSFT,789019,MICROSOFT CORP,analyzed (manual fix),True,7,95000.0,7.0,,,,,,,,,,,,,,,,,,3.0,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMZN,1018724,AMAZON COM INC,analyzed,True,56,59439.0,35.0,1.0,0.0,11.0,0.0,2.0,0.0,1.0,6.0,0.0,,7.0,,4.0,4.0,,2.0,,,23.0,,9.0,3.0,,,1.0,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AVGO,1730168,Broadcom Inc.,analyzed,True,24,94622.0,1.0,1.0,0.0,17.0,0.0,4.0,0.0,0.0,1.0,0.0,,12.0,,1.0,5.0,,4.0,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
META,1326801,"Meta Platforms, Inc.",analyzed,True,59,188918.0,17.0,10.0,2.0,8.0,3.0,12.0,7.0,0.0,0.0,0.0,,6.0,,,2.0,2.0,12.0,3.0,3.0,,2.0,6.0,6.0,,9.0,,,,1.0,6.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TSLA,1318605,"Tesla, Inc.",analyzed,True,11,79710.0,3.0,3.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,,1.0,,,1.0,,1.0,,,,,3.0,,,,,,,,,,2.0,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRK-B,1067983,BERKSHIRE HATHAWAY INC,no_risk_section,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WMT,104169,Walmart Inc.,analyzed,True,47,112502.0,18.0,3.0,0.0,6.0,0.0,13.0,0.0,2.0,5.0,0.0,,,,5.0,6.0,,4.0,,3.0,14.0,,1.0,,,,2.0,,,,,,3.0,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
