name,sector,country,founded,tags
OpenAI,AI & Machine Learning,USA,2015,"['AI', 'machine learning', 'software']"
Anthropic,AI & Machine Learning,USA,2016,"['AI', 'machine learning', 'software']"
Cohere,AI & Machine Learning,USA,2017,"['AI', 'machine learning', 'software']"
Hugging Face,AI & Machine Learning,USA,2018,"['AI', 'machine learning', 'software']"
Stability AI,AI & Machine Learning,USA,2019,"['AI', 'machine learning', 'software']"
Scale AI,AI & Machine Learning,USA,2020,"['AI', 'machine learning', 'software']"
DataRobot,AI & Machine Learning,USA,2021,"['AI', 'machine learning', 'software']"
C3.ai,AI & Machine Learning,USA,2022,"['AI', 'machine learning', 'software']"
Dataiku,AI & Machine Learning,USA,2023,"['AI', 'machine learning', 'software']"
H2O.ai,AI & Machine Learning,USA,2024,"['AI', 'machine learning', 'software']"
Landing AI,AI & Machine Learning,USA,2015,"['AI', 'machine learning', 'software']"
Weights & Biases,AI & Machine Learning,USA,2016,"['AI', 'machine learning', 'software']"
Replicate,AI & Machine Learning,USA,2017,"['AI', 'machine learning', 'software']"
Modal Labs,AI & Machine Learning,USA,2018,"['AI', 'machine learning', 'software']"
AI Company 14,AI & Machine Learning,USA,2024,"['AI', 'software']"
AI Company 15,AI & Machine Learning,USA,2010,"['AI', 'software']"
AI Company 16,AI & Machine Learning,USA,2011,"['AI', 'software']"
AI Company 17,AI & Machine Learning,USA,2012,"['AI', 'software']"
AI Company 18,AI & Machine Learning,USA,2013,"['AI', 'software']"
AI Company 19,AI & Machine Learning,USA,2014,"['AI', 'software']"
AI Company 20,AI & Machine Learning,USA,2015,"['AI', 'software']"
AI Company 21,AI & Machine Learning,USA,2016,"['AI', 'software']"
AI Company 22,AI & Machine Learning,USA,2017,"['AI', 'software']"
AI Company 23,AI & Machine Learning,USA,2018,"['AI', 'software']"
AI Company 24,AI & Machine Learning,USA,2019,"['AI', 'software']"
AI Company 25,AI & Machine Learning,USA,2020,"['AI', 'software']"
AI Company 26,AI & Machine Learning,USA,2021,"['AI', 'software']"
AI Company 27,AI & Machine Learning,USA,2022,"['AI', 'software']"
AI Company 28,AI & Machine Learning,USA,2023,"['AI', 'software']"
AI Company 29,AI & Machine Learning,USA,2024,"['AI', 'software']"
AI Company 30,AI & Machine Learning,USA,2010,"['AI', 'software']"
AI Company 31,AI & Machine Learning,USA,2011,"['AI', 'software']"
AI Company 32,AI & Machine Learning,USA,2012,"['AI', 'software']"
AI Company 33,AI & Machine Learning,USA,2013,"['AI', 'software']"
AI Company 34,AI & Machine Learning,USA,2014,"['AI', 'software']"
AI Company 35,AI & Machine Learning,USA,2015,"['AI', 'software']"
AI Company 36,AI & Machine Learning,USA,2016,"['AI', 'software']"
AI Company 37,AI & Machine Learning,USA,2017,"['AI', 'software']"
AI Company 38,AI & Machine Learning,USA,2018,"['AI', 'software']"
AI Company 39,AI & Machine Learning,USA,2019,"['AI', 'software']"
AI Company 40,AI & Machine Learning,USA,2020,"['AI', 'software']"
AI Company 41,AI & Machine Learning,USA,2021,"['AI', 'software']"
AI Company 42,AI & Machine Learning,USA,2022,"['AI', 'software']"
AI Company 43,AI & Machine Learning,USA,2023,"['AI', 'software']"
AI Company 44,AI & Machine Learning,USA,2024,"['AI', 'software']"
AI Company 45,AI & Machine Learning,USA,2010,"['AI', 'software']"
AI Company 46,AI & Machine Learning,USA,2011,"['AI', 'software']"
AI Company 47,AI & Machine Learning,USA,2012,"['AI', 'software']"
AI Company 48,AI & Machine Learning,USA,2013,"['AI', 'software']"
AI Company 49,AI & Machine Learning,USA,2014,"['AI', 'software']"
AI Company 50,AI & Machine Learning,USA,2015,"['AI', 'software']"
AI Company 51,AI & Machine Learning,USA,2016,"['AI', 'software']"
AI Company 52,AI & Machine Learning,USA,2017,"['AI', 'software']"
AI Company 53,AI & Machine Learning,USA,2018,"['AI', 'software']"
AI Company 54,AI & Machine Learning,USA,2019,"['AI', 'software']"
AI Company 55,AI & Machine Learning,USA,2020,"['AI', 'software']"
AI Company 56,AI & Machine Learning,USA,2021,"['AI', 'software']"
AI Company 57,AI & Machine Learning,USA,2022,"['AI', 'software']"
AI Company 58,AI & Machine Learning,USA,2023,"['AI', 'software']"
AI Company 59,AI & Machine Learning,USA,2024,"['AI', 'software']"
AI Company 60,AI & Machine Learning,USA,2010,"['AI', 'software']"
AI Company 61,AI & Machine Learning,USA,2011,"['AI', 'software']"
AI Company 62,AI & Machine Learning,USA,2012,"['AI', 'software']"
AI Company 63,AI & Machine Learning,USA,2013,"['AI', 'software']"
AI Company 64,AI & Machine Learning,USA,2014,"['AI', 'software']"
AI Company 65,AI & Machine Learning,USA,2015,"['AI', 'software']"
AI Company 66,AI & Machine Learning,USA,2016,"['AI', 'software']"
AI Company 67,AI & Machine Learning,USA,2017,"['AI', 'software']"
AI Company 68,AI & Machine Learning,USA,2018,"['AI', 'software']"
