cik,ticker,name,sector,proxy_filings,10k_filings
0001045810,NVDA,NVIDIA CORP,General Market,"[{'filing_type': 'DEF 14A', 'filing_date': '2025-05-13', 'accession_number': '0001045810-25-000095', 'filing_url': 'https://www.sec.gov/Archives/edgar/data/1045810/000104581025000095/0001045810-25-000095-index.htm'}, {'filing_type': 'DEF 14A', 'filing_date': '2024-05-14', 'accession_number': '0001045810-24-000104', 'filing_url': 'https://www.sec.gov/Archives/edgar/data/1045810/000104581024000104/0001045810-24-000104-index.htm'}, {'filing_type': 'DEF 14A', 'filing_date': '2023-05-08', 'accession_number': '0001045810-23-000080', 'filing_url': 'https://www.sec.gov/Archives/edgar/data/1045810/000104581023000080/0001045810-23-000080-index.htm'}]","[{'filing_type': '10-K', 'filing_date': '2025-02-26', 'accession_number': '0001045810-25-000023', 'filing_url': 'https://www.sec.gov/Archives/edgar/data/1045810/000104581025000023/0001045810-25-000023-index.htm'}, {'filing_type': '10-K', 'filing_date': '2024-02-21', 'accession_number': '0001045810-24-000029', 'filing_url': 'https://www.sec.gov/Archives/edgar/data/1045810/000104581024000029/0001045810-24-000029-index.htm'}, {'filing_type': '10-K', 'filing_date': '2023-02-24', 'accession_number': '0001045810-23-000017', 'filing_url': 'https://www.sec.gov/Archives/edgar/data/1045810/000104581023000017/0001045810-23-000017-index.htm'}]"
0000320193,AAPL,Apple Inc.,General Market,"[{'filing_type': 'DEF 14A', 'filing_date': '2025-01-10', 'accession_number': '0001308179-25-000008', 'filing_url': 'https://www.sec.gov/Archives/edgar/data/320193/000130817925000008/0001308179-25-000008-index.htm'}, {'filing_type': 'DEF 14A', 'filing_date': '2024-01-11', 'accession_number': '0001308179-24-000010', 'filing_url': 'https://www.sec.gov/Archives/edgar/data/320193/000130817924000010/0001308179-24-000010-index.htm'}, {'filing_type': 'DEF 14A', 'filing_date': '2023-01-12', 'accession_number': '0001308179-23-000019', 'filing_url': 'https://www.sec.gov/Archives/edgar/data/320193/000130817923000019/0001308179-23-000019-index.htm'}]","[{'filing_type': '10-K', 'filing_date': '2025-10-31', 'accession_number': '0000320193-25-000079', 'filing_url': 'https://www.sec.gov/Archives/edgar/data/320193/000032019325000079/0000320193-25-000079-index.htm'}, {'filing_type': '10-K', 'filing_date': '2024-11-01', 'accession_number': '0000320193-24-000123', 'filing_url': 'https://www.sec.gov/Archives/edgar/data/320193/000032019324000123/0000320193-24-000123-index.htm'}, {'filing_type': '10-K', 'filing_date': '2023-11-03', 'accession_number': '0000320193-23-000106', 'filing_url': 'https://www.sec.gov/Archives/edgar/data/320193/000032019323000106/0000320193-23-000106-index.htm'}]"
0001652044,GOOGL,Alphabet Inc.,General Market,"[{'filing_type': 'DEF 14A', 'filing_date': '2025-04-25', 'accession_number': '0001308179-25-000511', 'filing_url': 'https://www.sec.gov/Archives/edgar/data/1652044/000130817925000511/0001308179-25-000511-index.htm'}, {'filing_type': 'DEF 14A', 'filing_date': '2024-04-26', 'accession_number': '0001308179-24-000612', 'filing_url': 'https://www.sec.gov/Archives/edgar/data/1652044/000130817924000612/0001308179-24-000612-index.htm'}]","[{'filing_type': '10-K', 'filing_date': '2025-02-05', 'accession_number': '0001652044-25-000014', 'filing_url': 'https://www.sec.gov/Archives/edgar/data/1652044/000165204425000014/0001652044-25-000014-index.htm'}, {'filing_type': '10-K', 'filing_date': '2024-01-31', 'accession_number': '0001652044-24-000022', 'filing_url': 'https://www.sec.gov/Archives/edgar/data/1652044/000165204424000022/0001652044-24-000022-index.htm'}]"
0000789019,MSFT,MICROSOFT CORP,General Market,"[{'filing_type': 'DEF 14A', 'filing_date': '2025-10-21', 'accession_number': '0001193125-25-245150', 'filing_url': 'https://www.sec.gov/Archives/edgar/data/789019/000119312525245150/0001193125-25-245150-index.htm'}, {'filing_type': 'DEF 14A', 'filing_date': '2024-10-24', 'accession_number': '0001193125-24-242883', 'filing_url': 'https://www.sec.gov/Archives/edgar/data/789019/000119312524242883/0001193125-24-242883-index.htm'}, {'filing_type': 'DEF 14A', 'filing_date': '2023-10-19', 'accession_number': '0001193125-23-259247', 'filing_url': 'https://www.sec.gov/Archives/edgar/data/789019/000119312523259247/0001193125-23-259247-index.htm'}]","[{'filing_type': '10-K', 'filing_date': '2025-07-30', 'accession_number': '0000950170-25-100235', 'filing_url': 'https://www.sec.gov/Archives/edgar/data/789019/000095017025100235/0000950170-25-100235-index.htm'}, {'filing_type': '10-K', 'filing_date': '2024-07-30', 'accession_number': '0000950170-24-087843', 'filing_url': 'https://www.sec.gov/Archives/edgar/data/789019/000095017024087843/0000950170-24-087843-index.htm'}, {'filing_type': '10-K', 'filing_date': '2023-07-27', 'accession_number': '0000950170-23-035122', 'filing_url': 'https://www.sec.gov/Archives/edgar/data/789019/000095017023035122/0000950170-23-035122-index.htm'}]"
0001018724,AMZN,AMAZON COM INC,General Market,"[{'filing_type': 'DEF 14A', 'filing_date': '2025-04-10', 'accession_number': '0001104659-25-033442', 'filing_url': 'https://www.sec.gov/Archives/edgar/data/1018724/000110465925033442/0001104659-25-033442-index.htm'}, {'filing_type': 'DEF 14A', 'filing_date': '2024-04-11', 'accession_number': '0001104659-24-045910', 'filing_url': 'https://www.sec.gov/Archives/edgar/data/1018724/000110465924045910/0001104659-24-045910-index.htm'}]","[{'filing_type': '10-K', 'filing_date': '2025-02-07', 'accession_number': '0001018724-25-000004', 'filing_url': 'https://www.sec.gov/Archives/edgar/data/1018724/000101872425000004/0001018724-25-000004-index.htm'}, {'filing_type': '10-K', 'filing_date': '2024-02-02', 'accession_number': '0001018724-24-000008', 'filing_url': 'https://www.sec.gov/Archives/edgar/data/1018724/000101872424000008/0001018724-24-000008-index.htm'}]"
0001730168,AVGO,Broadcom Inc.,General Market,"[{'filing_type': 'DEF 14A', 'filing_date': '2025-03-03', 'accession_number': '0001193125-25-044112', 'filing_url': 'https://www.sec.gov/Archives/edgar/data/1730168/000119312525044112/0001193125-25-044112-index.htm'}, {'filing_type': 'DEF 14A', 'filing_date': '2024-02-26', 'accession_number': '0001140361-24-009541', 'filing_url': 'https://www.sec.gov/Archives/edgar/data/1730168/000114036124009541/0001140361-24-009541-index.htm'}]","[{'filing_type': '10-K', 'filing_date': '2024-12-20', 'accession_number': '0001730168-24-000139', 'filing_url': 'https://www.sec.gov/Archives/edgar/data/1730168/000173016824000139/0001730168-24-000139-index.htm'}, {'filing_type': '10-K', 'filing_date': '2023-12-14', 'accession_number': '0001730168-23-000096', 'filing_url': 'https://www.sec.gov/Archives/edgar/data/1730168/000173016823000096/0001730168-23-000096-index.htm'}]"
0001326801,META,"Meta Platforms, Inc.",Cross Domain Enablement,"[{'filing_type': 'DEF 14A', 'filing_date': '2025-04-17', 'accession_number': '0001326801-25-000040', 'filing_url': 'https://www.sec.gov/Archives/edgar/data/1326801/000132680125000040/0001326801-25-000040-index.htm'}, {'filing_type': 'DEF 14A', 'filing_date': '2024-04-19', 'accession_number': '0001326801-24-000034', 'filing_url': 'https://www.sec.gov/Archives/edgar/data/1326801/000132680124000034/0001326801-24-000034-index.htm'}, {'filing_type': 'DEF 14A', 'filing_date': '2023-04-14', 'accession_number': '0001326801-23-000050', 'filing_url': 'https://www.sec.gov/Archives/edgar/data/1326801/000132680123000050/0001326801-23-000050-index.htm'}]","[{'filing_type': '10-K', 'filing_date': '2025-01-30', 'accession_number': '0001326801-25-000017', 'filing_url': 'https://www.sec.gov/Archives/edgar/data/1326801/000132680125000017/0001326801-25-000017-index.htm'}, {'filing_type': '10-K', 'filing_date': '2024-02-02', 'accession_number': '0001326801-24-000012', 'filing_url': 'https://www.sec.gov/Archives/edgar/data/1326801/000132680124000012/0001326801-24-000012-index.htm'}]"
0001318605,TSLA,"Tesla, Inc.",General Market,"[{'filing_type': 'DEF 14A', 'filing_date': '2025-09-17', 'accession_number': '0001104659-25-090866', 'filing_url': 'https://www.sec.gov/Archives/edgar/data/1318605/000110465925090866/0001104659-25-090866-index.htm'}]","[{'filing_type': '10-K', 'filing_date': '2025-01-30', 'accession_number': '0001628280-25-003063', 'filing_url': 'https://www.sec.gov/Archives/edgar/data/1318605/000162828025003063/0001628280-25-003063-index.htm'}]"
0001067983,BRK-B,BERKSHIRE HATHAWAY INC,General Market,"[{'filing_type': 'DEF 14A', 'filing_date': '2025-03-14', 'accession_number': '0001193125-25-054877', 'filing_url': 'https://www.sec.gov/Archives/edgar/data/1067983/000119312525054877/0001193125-25-054877-index.htm'}]","[{'filing_type': '10-K', 'filing_date': '2025-02-24', 'accession_number': '0000950170-25-025210', 'filing_url': 'https://www.sec.gov/Archives/edgar/data/1067983/000095017025025210/0000950170-25-025210-index.htm'}]"
0000104169,WMT,Walmart Inc.,General Market,"[{'filing_type': 'DEF 14A', 'filing_date': '2025-04-24', 'accession_number': '0000104169-25-000055', 'filing_url': 'https://www.sec.gov/Archives/edgar/data/104169/000010416925000055/0000104169-25-000055-index.htm'}, {'filing_type': 'DEF 14A', 'filing_date': '2024-04-25', 'accession_number': '0000104169-24-000078', 'filing_url': 'https://www.sec.gov/Archives/edgar/data/104169/000010416924000078/0000104169-24-000078-index.htm'}]","[{'filing_type': '10-K', 'filing_date': '2025-03-14', 'accession_number': '0000104169-25-000021', 'filing_url': 'https://www.sec.gov/Archives/edgar/data/104169/000010416925000021/0000104169-25-000021-index.htm'}, {'filing_type': '10-K', 'filing_date': '2024-03-15', 'accession_number': '0000104169-24-000056', 'filing_url': 'https://www.sec.gov/Archives/edgar/data/104169/000010416924000056/0000104169-24-000056-index.htm'}]"
